2002,0.1,0.6,15.5,0.4,0,0.3,0.2,0.2,76.8,6.6,3.2,2.9,8.9
2003,15.1,2.4,5.3,7.7,11.5,2.5,4.9,0.2,6.3,6.2,5,148.9,18
2004,3.1,42.7,2.9,4.6,3.3,2,5,14.6,2.4,3.4,6.6,12,8.55
2005,0.4,5.7,10.5,6.9,1.7,2,34.6,25.7,3.4,11.4,1.7,12.4,9.7
2006,1,6.9,0.3,0.9,5.2,0.7,6.9,7.6,9.5,44.6,7.2,1.5,7.691666667
2007,5.6,1.2,2.1,6.5,23.4,19.8,24.4,40.5,22.8,28.4,9,22.8,17.20833333
2008,9.1,46.3,27.6,67.5,41.2,54.9,31.9,38.1,28.8,45.5,99.4,40.8,44.25833333
2009,22,37.5,34.5,53.7,56.4,170.1,114.6,65.3,23.5,80.3,75.6,31.4,63.74166667
2010,14.4,68,27,21,15.6,19.9,15.7,16.5,30.6,33.4,34.6,67.2,30.325
2011,6,23,26.4,16.2,47.5,6.5,5.6,7.1,24.4,17.9,13.9,10.5,17.08333333
2012,8.6,27.3,12.2,20.2,32.2,13.5,10.6,19,71.9,64.5,32.6,39,29.3
2013,17,8.5,4.3,13.1,36.4,18.7,14.9,8.6,21.3,48.8,27.2,38.7,21.45833333
2014,31.9,21.6,14.2,17.4,26.6,21.7,8.4,11.4,26.4,62.2,42.6,91.1,31.29166667
2015,43.9,30.7,36.6,70.8,26.5,19.6,12.7,28,25.5,15.6,40.4,21.6,30.99166667
2016,21.1,32.1,24.4,24.3,47.1,31,35.2,24.9,45.5,52.6,39.5,60.6,36.525
averages,11.2875,29.98863636,15.12848503,,,,,,,,,,
